"Id","VirtualMenuStar","OrderingProcessStar","OnlinePaymentStar","OtherComments","UserOrderId","CreatedDate"
617,4,5,3,Add more beer options and make non-Google payment options clearer,8918,2021-05-01T22:50:38.419382Z
616,5,3,5,About the ordering process: it would be nice to know what is the expected waiting time if ASAP is selected. It would also be nice to be able to schedule a pick up time that starts earlier than 1h and 1/2 half ordering.,8914,2021-05-01T22:37:46.658639Z
615,5,3,3,Allow payment through terminal tap,8907,2021-05-01T22:08:05.631754Z
614,5,5,5,,8896,2021-05-01T21:19:16.856287Z
613,5,5,5,,8892,2021-05-01T20:34:49.347186Z
612,5,5,5,,8890,2021-05-01T20:12:46.765463Z
611,5,4,3,,8889,2021-05-01T20:03:21.517812Z
610,5,5,5,,8885,2021-05-01T19:32:05.218164Z
609,5,5,4,,8884,2021-05-01T19:23:10.823314Z
608,5,5,5,,8872,2021-05-01T02:28:36.59698Z
607,4,4,4,"More pictures, some descriptions not very good. Otherwise great.",8866,2021-05-01T02:00:43.449149Z
606,5,5,5,,8844,2021-05-01T00:00:55.926551Z
605,5,5,5,,8838,2021-04-30T23:49:01.882475Z
604,5,5,5,,8810,2021-04-30T03:57:07.002298Z
603,5,5,5,,8809,2021-04-30T03:44:02.402845Z
602,5,5,5,,8232,2021-04-30T00:05:37.462417Z
601,4,5,5,"Picture on every menu item would be helpful, especially for first timers.",8787,2021-04-29T19:16:02.108513Z
600,5,5,5,,8786,2021-04-29T19:12:33.868367Z
599,5,5,5,,8781,2021-04-29T03:11:17.83152Z
598,5,5,5,,8780,2021-04-29T02:53:16.721558Z
597,5,5,5,,8764,2021-04-29T01:17:34.278545Z
596,3,3,3,,8771,2021-04-28T23:33:58.409959Z
595,5,5,5,Brilliant ,8766,2021-04-28T20:13:19.017796Z
594,5,5,5,,8765,2021-04-28T20:12:45.537119Z
593,5,5,5,,8761,2021-04-28T18:48:54.840112Z
592,5,5,5,,8760,2021-04-28T18:45:42.353032Z
591,3,5,5,More photos and descriptions of the menu items.,8757,2021-04-28T04:18:31.186509Z
590,4,4,4,,8754,2021-04-28T01:23:50.169323Z
589,5,5,5,,8753,2021-04-27T22:47:10.44599Z
588,2,4,4,Add more pictures,8749,2021-04-27T03:36:47.851418Z
587,4,3,3,Allow to pay at restaurant would help ,8748,2021-04-27T02:45:33.766683Z
586,5,5,5,,8736,2021-04-26T01:21:52.678679Z
585,4,4,2,Pay in store option,8735,2021-04-26T01:10:15.528586Z
584,5,5,5,,8731,2021-04-25T23:52:25.538952Z
583,5,5,5,,8716,2021-04-25T21:31:47.837733Z
582,5,5,5,,8714,2021-04-25T21:22:27.736303Z
581,5,5,5,Server was very polite and welcoming. ,8713,2021-04-25T21:18:59.237937Z
580,5,5,5,,8711,2021-04-25T20:47:34.090769Z
579,5,5,5,,8708,2021-04-25T20:27:12.678774Z
578,5,5,5,,8704,2021-04-25T19:56:41.792449Z
577,5,5,5,,8695,2021-04-25T19:02:41.650771Z
576,5,5,5,,8693,2021-04-25T16:44:09.411292Z
575,4,4,4,,8688,2021-04-25T02:32:39.114131Z
574,3,5,4,,8684,2021-04-25T02:18:05.033699Z
573,4,4,4,,8683,2021-04-25T02:18:04.878192Z
572,5,5,5,,8674,2021-04-25T00:14:10.064928Z
571,4,4,4,,8671,2021-04-24T23:58:30.398337Z
570,5,5,5,Nothing but perfection ,8667,2021-04-24T22:56:30.797665Z
569,5,5,5,,8660,2021-04-24T21:13:34.990018Z
568,5,5,5,,8659,2021-04-24T21:12:55.557114Z
567,5,5,5,,8648,2021-04-24T04:13:41.739269Z
566,5,5,5,,8638,2021-04-24T00:44:48.932306Z
565,5,5,5,,8636,2021-04-24T00:30:30.28876Z
564,3,5,5,Wish there were more drink options ,8629,2021-04-23T22:46:40.116917Z
563,5,5,5,,8627,2021-04-23T22:02:18.055419Z
562,4,4,4,,8621,2021-04-23T21:03:07.340348Z
561,5,5,5,,8614,2021-04-23T19:44:30.766134Z
560,3,4,3,,8612,2021-04-23T19:26:09.415451Z
559,3,4,5,,8613,2021-04-23T19:25:14.243984Z
558,5,5,5,,8606,2021-04-23T02:57:21.616685Z
557,5,5,5,,8603,2021-04-23T01:40:57.770436Z
556,5,5,5,,8602,2021-04-23T01:09:48.325012Z
555,3,3,3,,8598,2021-04-23T00:31:38.878272Z
554,5,5,5,,8589,2021-04-22T22:19:58.814651Z
553,3,3,4,Let us order from the waitress,8582,2021-04-22T19:27:09.118578Z
552,4,4,4,,8581,2021-04-22T18:46:18.800872Z
551,5,5,5,,8571,2021-04-22T00:31:42.833632Z
550,5,5,5,Nothing! You guys are doing great! It’s just a little cold with the windows open 😭 ,8564,2021-04-21T23:07:01.30994Z
549,5,5,5,,8562,2021-04-21T22:14:16.278161Z
548,3,5,5,"Add a ""Drinks"" section",8555,2021-04-21T20:21:49.51296Z
547,5,5,5,,8553,2021-04-21T19:36:36.290356Z
546,5,5,3,Great but took a few clicks to process ofder,8533,2021-04-20T01:35:29.370192Z
545,5,4,4,"Would be nice to have photos of all food items -- I hope the Tahdig is rice not bread, but if it's bread, I'll probably still like it. 

Regarding ordering, I wish I didn't have to make an account to order. ",8532,2021-04-20T01:15:29.388948Z
544,5,5,5,,8519,2021-04-19T01:45:51.148144Z
543,5,5,5,,8500,2021-04-18T22:48:29.357217Z
542,5,5,5,,8499,2021-04-18T22:47:41.427786Z
541,5,5,5,,8487,2021-04-18T22:09:49.125294Z
540,5,5,5,,8485,2021-04-18T22:08:23.912579Z
539,4,4,5,,8475,2021-04-18T20:28:26.317869Z
538,4,1,1,,8474,2021-04-18T20:13:25.395908Z
537,5,5,5,,8462,2021-04-18T19:14:02.235173Z
536,5,5,5,,8456,2021-04-18T19:04:27.976741Z
535,4,5,5,,8454,2021-04-18T18:58:43.847747Z
534,5,5,5,:),8450,2021-04-18T18:33:15.350559Z
533,5,5,5,,8447,2021-04-18T18:05:38.12029Z
532,3,3,4,,8445,2021-04-18T04:21:13.163048Z
531,5,5,1,Want to pay with Apple Pay. ,8440,2021-04-18T01:53:37.588002Z
530,5,5,5,,8433,2021-04-18T00:50:19.615858Z
